"filename", "language", "YAML", "C++", "JSON", "HTML", "Markdown", "Dart", "Properties", "XML", "Swift", "MS SQL", "comment", "blank", "total"
"d:\flutter_app\first_app\lib\widgets\surah_tile.dart", "Dart", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 3, 7, 119
"d:\flutter_app\first_app\lib\widgets\top_bar.dart", "Dart", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 6, 9, 199
"d:\flutter_app\first_app\lib\widgets\translated_text.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 8, 12, 73
"d:\flutter_app\first_app\lib\widgets\verse_of_the_day.dart", "Dart", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 6, 4, 144
"d:\flutter_app\first_app\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\flutter_app\first_app\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\flutter_app\first_app\linux\runner\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\flutter_app\first_app\linux\runner\my_application.cc", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"d:\flutter_app\first_app\linux\runner\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\flutter_app\first_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 3, 4, 29
"d:\flutter_app\first_app\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"d:\flutter_app\first_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"d:\flutter_app\first_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
"d:\flutter_app\first_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"d:\flutter_app\first_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"d:\flutter_app\first_app\pubspec.yaml", "YAML", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 15, 135
"d:\flutter_app\first_app\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"d:\flutter_app\first_app\web\index.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 5, 39
"d:\flutter_app\first_app\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"d:\flutter_app\first_app\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"d:\flutter_app\first_app\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\flutter_app\first_app\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\flutter_app\first_app\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\flutter_app\first_app\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\flutter_app\first_app\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\flutter_app\first_app\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\flutter_app\first_app\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\flutter_app\first_app\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\flutter_app\first_app\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 71, 560, 127, 19, 234, 25409, 8, 563, 71, 226, 1495, 2414, 31197
